,title,location1,location2,location3,area,orientation,room_type,price
5583,整租·物资仓储小区 2室2厅 南/北,城关区,火车站,物资仓储小区,92.76㎡,南 北,2室2厅1卫,2000
5584,整租·东安家园 2室1厅 东/西,城关区,火车站,东安家园,106.60㎡,东 西,2室1厅1卫,2200
5585,整租·波罗的海城 2室2厅 南,城关区,东部,波罗的海城,80.00㎡,南,2室2厅1卫,2000
5586,整租·基业豪庭 2室2厅 南/北,城关区,雁滩高新区,基业豪庭,126.00㎡,南 北,2室2厅1卫,2200
5587,整租·兰大二分部家属院 2室1厅 南/北,城关区,兰大盘旋路,兰大二分部家属院,60.00㎡,南 北,2室1厅1卫,2100
5588,整租·文化小苑 2室1厅 南,城关区,火车站,文化小苑,94.00㎡,南,2室1厅1卫,2000
5589,整租·交警大队家属院（平凉路） 2室1厅 南,城关区,东方红广场,交警大队家属院（平凉路）,60.00㎡,南,2室1厅1卫,2200
5590,整租·甘肃省消防局家属院 2室2厅 南/北,城关区,西关南关,甘肃省消防局家属院,94.00㎡,南 北,2室2厅1卫,2000
5591,整租·建设银行家属院（华亭街） 2室1厅 南,城关区,东方红广场,建设银行家属院（华亭街）,74.47㎡,南,2室1厅1卫,2000
5592,整租·建行家属院（静宁路） 2室2厅 东/西,城关区,西关南关,建行家属院（静宁路）,97.00㎡,东 西,2室2厅1卫,2000
5593,整租·昌运大厦 2室1厅 南/北,城关区,西关南关,昌运大厦,70.00㎡,南 北,2室1厅1卫,2500
5594,整租·省厅家属院(雁滩路) 2室1厅 南/北,城关区,万达大润发,省厅家属院(雁滩路),75.00㎡,南 北,2室1厅1卫,2200
5595,整租·兰州生物制品研究所住宅小区 2室1厅 南/北,城关区,大沙坪,兰州生物制品研究所住宅小区,90.00㎡,南 北,2室1厅1卫,2300
5596,整租·沁园小区 2室2厅 东,城关区,火车站,沁园小区,70.00㎡,东,2室2厅1卫,2100
5597,整租·东湖小区 2室1厅 南,城关区,段家滩,东湖小区,80.00㎡,南,2室1厅1卫,2100
5598,整租·二中家属院 2室1厅 南/北,城关区,西关南关,二中家属院,42.00㎡,南 北,2室1厅1卫,2200
5599,整租·甘肃省残联小区（酒泉路） 2室1厅 南,城关区,西关南关,甘肃省残联小区（酒泉路）,50.00㎡,南,2室1厅1卫,2000
5600,整租·甘肃省总工会家属院 2室2厅 南/北,城关区,兰大盘旋路,甘肃省总工会家属院,112.00㎡,南 北,2室2厅1卫,2500
5601,整租·雁沙花园 2室2厅 南/北,城关区,万达大润发,雁沙花园,113.00㎡,南 北,2室2厅1卫,2000
5602,整租·甘肃省保育院家属院 2室0厅 南,城关区,西关南关,甘肃省保育院家属院,60.00㎡,南,2室0厅1卫,2000
5603,整租·人行家属院 2室0厅 东南,城关区,东方红广场,人行家属院,62.00㎡,东南,2室0厅1卫,2300
5604,整租·静安小区 2室1厅 东,城关区,西关南关,静安小区,67.00㎡,东,2室1厅1卫,2100
5605,整租·绿苑小区 2室2厅 南/北,城关区,雁滩高新区,绿苑小区,103.00㎡,南 北,2室2厅1卫,2200
5606,整租·东湖小区 2室1厅 南,城关区,段家滩,东湖小区,93.74㎡,南,2室1厅1卫,2300
5607,整租·金石巷小区 2室1厅 南/北,城关区,西关南关,金石巷小区,60.00㎡,南 北,2室1厅1卫,2500
5608,整租·省进出口贸易公司家属院 2室2厅 南/北,城关区,火车站,省进出口贸易公司家属院,100.00㎡,南 北,2室2厅1卫,2000
5609,整租·广电家园 2室1厅 南/北,城关区,万达大润发,广电家园,53.67㎡,南 北,2室1厅1卫,2300
5610,整租·兰州市工贸大厦管理处家属院 2室1厅 南/北,城关区,东方红广场,兰州市工贸大厦管理处家属院,70.00㎡,南 北,2室1厅1卫,2100
5611,整租·渔业家园 2室1厅 南,城关区,段家滩,渔业家园,105.00㎡,南,2室1厅1卫,2200
5612,整租·望河丽景 2室2厅 东/西,城关区,北面滩,望河丽景,103.55㎡,东 西,2室2厅1卫,2500
5613,整租·吉祥嘉苑 2室2厅 东/南,城关区,雁滩高新区,吉祥嘉苑,95.00㎡,东 南,2室2厅1卫,2300
5614,整租·兰州敬东公司家属院 2室2厅 东/西,城关区,东部,兰州敬东公司家属院,98.86㎡,东 西,2室2厅1卫,2200
5615,整租·飞天家园C区 2室2厅 南,城关区,段家滩,飞天家园C区,94.00㎡,南,2室2厅1卫,2000
5616,整租·东湖小区 2室2厅 南/北,城关区,段家滩,东湖小区,118.00㎡,南 北,2室2厅1卫,2200
5617,整租·东湖小区 2室1厅 东,城关区,段家滩,东湖小区,64.00㎡,东,2室1厅1卫,2000
5618,整租·元森北新时代（石榴园） 2室1厅 南,城关区,黄河北,元森北新时代（石榴园）,78.78㎡,南,2室1厅1卫,2100
5619,整租·民白小区 2室1厅 南/北,城关区,东方红广场,民白小区,110.00㎡,南 北,2室1厅1卫,2000
5620,整租·酒钢大厦 2室1厅 南/北,城关区,兰大盘旋路,酒钢大厦,73.00㎡,南 北,2室1厅1卫,2500
5621,整租·煤炭局家属院 2室1厅 东/西,城关区,兰大盘旋路,煤炭局家属院,82.00㎡,东 西,2室1厅1卫,2000
